brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
leatherman,194,11,7,0.05670103092783505,0.6363636363636364,0.03608247422680412
portcase,112,8,4,0.07142857142857142,0.5,0.03571428571428571
jabra,28,3,1,0.10714285714285714,0.3333333333333333,0.03571428571428571
samsung,21402,1029,757,0.04807961872722175,0.7356656948493683,0.035370526119054294
acer,765,35,27,0.0457516339869281,0.7714285714285715,0.03529411764705882
megajet,200,6,7,0.03,1.1666666666666667,0.035
motorola,836,48,29,0.05741626794258373,0.6041666666666666,0.034688995215311005
dors,29,1,1,0.034482758620689655,1.0,0.034482758620689655
lunatik,29,2,1,0.06896551724137931,0.5,0.034482758620689655
mindeo,29,4,1,0.13793103448275862,0.25,0.034482758620689655
genius,436,16,15,0.03669724770642202,0.9375,0.034403669724770644
prology,378,10,13,0.026455026455026454,1.3,0.03439153439153439
lukey,412,27,14,0.06553398058252427,0.5185185185185185,0.03398058252427184
cooler,59,5,2,0.0847457627118644,0.4,0.03389830508474576
cameronsino,5225,209,177,0.04,0.84688995215311,0.0338755980861244
katun,296,16,10,0.05405405405405406,0.625,0.033783783783783786
haier,1009,57,34,0.05649157581764123,0.5964912280701754,0.03369672943508424
batterika,327,14,11,0.04281345565749235,0.7857142857142857,0.03363914373088685
w.e.p,479,22,16,0.04592901878914405,0.7272727272727273,0.033402922755741124
hama,3326,161,111,0.04840649428743235,0.6894409937888198,0.03337342152736019
anker,121,4,4,0.03305785123966942,1.0,0.03305785123966942
oltramax,61,2,2,0.03278688524590164,1.0,0.03278688524590164
itskins,276,12,9,0.043478260869565216,0.75,0.03260869565217391
leef,92,3,3,0.03260869565217391,1.0,0.03260869565217391
kyocera,1473,79,48,0.05363204344874406,0.6075949367088608,0.032586558044806514
inspector,645,23,21,0.03565891472868217,0.9130434782608695,0.03255813953488372
pccooler,707,63,23,0.0891089108910891,0.36507936507936506,0.03253182461103253
funtastique,31,1,1,0.03225806451612903,1.0,0.03225806451612903
makel,31,1,1,0.03225806451612903,1.0,0.03225806451612903
smartbuy,4405,246,142,0.05584562996594779,0.5772357723577236,0.0322360953461975
powercool,311,10,10,0.03215434083601286,1.0,0.03215434083601286
apple,780,51,25,0.06538461538461539,0.49019607843137253,0.03205128205128205
ural,847,33,27,0.03896103896103896,0.8181818181818182,0.031877213695395513
kw-trio,63,5,2,0.07936507936507936,0.4,0.031746031746031744
hoco,1295,45,41,0.03474903474903475,0.9111111111111111,0.03166023166023166
rexant,127,8,4,0.06299212598425197,0.5,0.031496062992125984
candy,286,6,9,0.02097902097902098,1.5,0.03146853146853147
formula,1183,75,37,0.06339814032121724,0.49333333333333335,0.03127641589180051
mercusys,32,1,1,0.03125,1.0,0.03125
agestar,385,22,12,0.05714285714285714,0.5454545454545454,0.03116883116883117
viewsonic,482,25,15,0.05186721991701245,0.6,0.03112033195020747
infinity,259,11,8,0.04247104247104247,0.7272727272727273,0.03088803088803089
adata,584,17,18,0.02910958904109589,1.0588235294117647,0.030821917808219176
neomax,98,5,3,0.05102040816326531,0.6,0.030612244897959183
videx,131,6,4,0.04580152671755725,0.6666666666666666,0.030534351145038167
peakmeter,132,5,4,0.03787878787878788,0.8,0.030303030303030304
rivacase,99,4,3,0.04040404040404041,0.75,0.030303030303030304
proskit,66,2,2,0.030303030303030304,1.0,0.030303030303030304
qnap,33,1,1,0.030303030303030304,1.0,0.030303030303030304
sea,33,3,1,0.09090909090909091,0.3333333333333333,0.030303030303030304
wits,33,2,1,0.06060606060606061,0.5,0.030303030303030304
polaris,2482,108,75,0.043513295729250605,0.6944444444444444,0.030217566478646252
trust,298,2,9,0.006711409395973154,4.5,0.030201342281879196
roccat,605,34,18,0.05619834710743802,0.5294117647058824,0.02975206611570248
dell,910,42,27,0.046153846153846156,0.6428571428571429,0.02967032967032967
ippon,719,28,21,0.03894297635605007,0.75,0.02920723226703755
synology,104,4,3,0.038461538461538464,0.75,0.028846153846153848
ritmix,3966,154,114,0.038830055471507814,0.7402597402597403,0.028744326777609682
ajax,35,2,1,0.05714285714285714,0.5,0.02857142857142857
tantos,35,1,1,0.02857142857142857,1.0,0.02857142857142857
kitfort,5990,225,169,0.037562604340567615,0.7511111111111111,0.028213689482470786
mechanic,321,12,9,0.037383177570093455,0.75,0.028037383177570093
realme,359,29,10,0.0807799442896936,0.3448275862068966,0.027855153203342618
felisatti,684,26,19,0.038011695906432746,0.7307692307692307,0.027777777777777776
swat,1558,46,43,0.029525032092426188,0.9347826086956522,0.027599486521181
defender,1822,93,50,0.05104281009879254,0.5376344086021505,0.027442371020856202
nubia,185,6,5,0.032432432432432434,0.8333333333333334,0.02702702702702703
elago,37,1,1,0.02702702702702703,1.0,0.02702702702702703
element,483,19,13,0.039337474120082816,0.6842105263157895,0.026915113871635612
